episode, result, self hp, boss hp, time
1, 0, 0, 164
2, 0, 0, 132
3, 1, 4, 901
4, 1, 3, 901
5, 1, 1, 901
6, 1, 3, 901
7, 0, 0, 100
1, 0, 0, 68
2, 1, 2, 901
3, 0, 0, 4
4, 0, 0, 100
5, 0, 0, 4
6, 0, 0, 548
7, 1, 1, 901
8, 1, 5, 901
9, 1, 1, 901
10, 1, 4, 901
11, 1, 3, 901
12, 1, 1, 901
13, 0, 0, 100
14, 0, 0, 36
15, 1, 5, 901
16, 1, 1, 901
17, 1, 3, 901
18, 1, 3, 901
19, 0, 0, 228
20, 1, 3, 901
21, 1, 2, 901
22, 1, 1, 901
23, 1, 3, 901
24, 1, 3, 901
25, 1, 2, 901
26, 0, 0, 36
27, 1, 1, 901
28, 1, 3, 901
29, 1, 1, 901
30, 0, 0, 36
31, 0, 0, 452
32, 1, 4, 901
33, 1, 1, 901
34, 1, 4, 901
35, 0, 0, 68
36, 0, 0, 100
37, 0, 0, 4
38, 1, 2, 901
39, 1, 1, 901
40, 1, 3, 901
41, 1, 6, 901
42, 1, 2, 901
43, 0, 0, 260
44, 1, 2, 901
45, 1, 4, 901
46, 1, 5, 901
47, 1, 4, 901
48, 1, 1, 901
49, 1, 5, 901
50, 1, 4, 901
51, 0, 0, 68
52, 1, 4, 901
53, 1, 4, 901
54, 1, 2, 901
55, 1, 5, 901
56, 1, 4, 901
57, 1, 3, 901
58, 1, 5, 901
59, 1, 6, 901
60, 1, 6, 901
61, 1, 4, 901
62, 1, 5, 901
63, 1, 5, 901
64, 1, 6, 901
65, 1, 1, 901
66, 1, 5, 901
67, 1, 2, 901
68, 1, 5, 901
69, 1, 3, 901
70, 1, 4, 901
71, 0, 0, 4
72, 1, 5, 901
73, 0, 0, 260
74, 1, 4, 901
75, 1, 4, 901
76, 1, 3, 901
77, 1, 3, 901
78, 0, 0, 36
79, 1, 3, 901
80, 1, 1, 901
81, 1, 9, 901
82, 1, 5, 901
83, 1, 7, 901
84, 0, 0, 36
85, 1, 1, 901
86, 1, 6, 901
87, 1, 4, 901
88, 1, 1, 901
89, 1, 4, 901
90, 1, 1, 901
91, 1, 5, 901
92, 1, 4, 901
93, 1, 5, 901
94, 1, 3, 901
95, 1, 3, 901
96, 1, 4, 901
97, 1, 1, 901
98, 1, 3, 901
99, 1, 2, 901
100, 1, 5, 901
101, 1, 2, 901
102, 1, 4, 901
103, 1, 3, 901
104, 1, 6, 901
105, 1, 8, 901
106, 1, 5, 901
107, 1, 7, 901
108, 0, 0, 68
109, 0, 0, 324
110, 1, 5, 901
111, 1, 7, 901
112, 1, 5, 901
113, 0, 0, 100
114, 1, 4, 901
115, 1, 8, 901
116, 1, 2, 901
117, 0, 0, 36
118, 0, 0, 68
119, 1, 5, 901
120, 1, 3, 901
121, 0, 0, 36
122, 1, 3, 901
123, 1, 1, 901
124, 1, 8, 901
125, 1, 3, 901
126, 1, 7, 901
127, 1, 6, 901
128, 1, 6, 901
129, 1, 3, 901
130, 1, 4, 901
131, 1, 6, 901
132, 1, 3, 901
133, 1, 5, 901
134, 1, 6, 901
135, 1, 4, 901
136, 1, 8, 901
137, 1, 2, 901
138, 1, 5, 901
139, 1, 4, 901
140, 1, 6, 901
141, 1, 6, 901
142, 1, 2, 901
143, 1, 7, 901
144, 1, 2, 901
145, 1, 3, 901
146, 1, 5, 901
147, 1, 7, 901
148, 1, 3, 901
149, 1, 4, 901
150, 1, 8, 901
151, 1, 2, 901
152, 1, 4, 901
153, 1, 5, 901
154, 1, 7, 901
155, 1, 6, 901
156, 1, 1, 901
157, 1, 8, 901
158, 1, 3, 901
159, 1, 6, 901
160, 1, 9, 901
161, 1, 1, 901
162, 0, 0, 228
163, 1, 7, 901
164, 1, 5, 901
165, 1, 7, 901
166, 1, 6, 901
167, 1, 1, 901
168, 1, 4, 901
169, 1, 6, 901
170, 1, 6, 901
171, 1, 4, 901
172, 1, 7, 901
173, 1, 1, 901
174, 1, 8, 901
175, 1, 5, 901
176, 1, 7, 901
177, 1, 7, 901
178, 1, 4, 901
179, 0, 0, 36
180, 1, 4, 901
181, 1, 6, 901
182, 1, 7, 901
183, 1, 3, 901
184, 1, 5, 901
185, 1, 6, 901
186, 1, 9, 901
187, 1, 7, 901
188, 1, 1, 901
189, 1, 4, 901
190, 1, 6, 901
191, 1, 5, 901
192, 1, 4, 901
193, 1, 7, 901
194, 1, 5, 901
195, 1, 1, 901
196, 1, 4, 901
197, 1, 2, 901
198, 1, 6, 901
199, 1, 3, 901
200, 1, 7, 901
201, 1, 4, 901
202, 1, 4, 901
203, 1, 6, 901
204, 1, 4, 901
205, 1, 5, 901
206, 1, 3, 901
207, 1, 5, 901
208, 1, 5, 901
209, 1, 4, 901
210, 1, 5, 901
211, 1, 3, 901
212, 1, 3, 901
213, 0, 0, 100
214, 1, 9, 901
215, 1, 4, 901
216, 1, 5, 901
217, 1, 6, 901
218, 1, 3, 901
219, 1, 6, 901
220, 1, 8, 901
221, 1, 7, 901
222, 1, 6, 901
223, 1, 6, 901
224, 1, 6, 901
225, 1, 4, 901
226, 1, 4, 901
227, 1, 5, 901
228, 1, 5, 901
229, 1, 8, 901
230, 1, 5, 901
231, 1, 6, 901
232, 1, 8, 901
233, 1, 5, 901
234, 1, 1, 901
235, 1, 1, 901
236, 1, 6, 901
237, 1, 7, 901
238, 1, 5, 901
239, 1, 6, 901
240, 1, 6, 901
241, 1, 3, 901
242, 1, 3, 901
243, 1, 5, 901
244, 1, 5, 901
245, 1, 3, 901
246, 1, 1, 901
247, 1, 4, 901
248, 1, 7, 901
249, 1, 5, 901
250, 1, 5, 901
251, 1, 5, 901
252, 1, 5, 901
253, 1, 6, 901
254, 1, 4, 901
255, 1, 5, 901
256, 1, 4, 901
257, 1, 4, 901
258, 1, 7, 901
259, 1, 6, 901
260, 1, 5, 901
261, 1, 2, 901
262, 1, 8, 901
