episode, result, self hp, boss hp, total reward, time
152, 1, 6, 901, 16.500, 50.521
153, 1, 4, 901, 15.000, 52.839
154, 1, 6, 901, 32.500, 56.745
155, 1, 3, 901, 1.500, 52.460
156, 1, 4, 901, -1.000, 66.852
157, 1, 6, 901, 30.000, 52.164
158, 1, 6, 901, 34.000, 66.786
159, 1, 6, 901, 12.500, 66.216
160, 1, 7, 901, 43.000, 63.253
161, 1, 1, 901, -15.000, 66.255
162, 1, 5, 901, 12.500, 60.802
163, 1, 4, 901, 8.500, 67.917
164, 1, 6, 901, 25.500, 54.609
165, 1, 6, 901, 40.000, 47.583
166, 1, 3, 901, 2.000, 45.352
167, 1, 4, 901, 0.500, 50.343
168, 1, 4, 901, -10.000, 68.584
169, 1, 7, 901, 13.500, 60.678
170, 1, 8, 901, 62.000, 43.648
171, 1, 5, 901, 31.000, 58.403
172, 1, 3, 901, 17.500, 49.504
173, 1, 3, 901, 15.000, 50.962
174, 1, 4, 901, 17.500, 58.773
175, 1, 4, 901, 27.500, 53.644
176, 1, 3, 901, -12.000, 56.578
177, 1, 4, 901, 13.500, 62.427
178, 1, 6, 901, 25.000, 66.224
179, 1, 4, 901, 11.500, 63.839
180, 1, 6, 901, 35.500, 55.355
181, 1, 7, 901, 54.500, 46.621
182, 1, 8, 901, 56.500, 38.540
183, 1, 5, 901, 40.500, 50.336
184, 1, 3, 901, 22.500, 61.353
185, 1, 4, 901, 30.000, 52.335
186, 1, 3, 901, 12.000, 61.208
187, 1, 2, 901, -9.000, 67.365
188, 1, 5, 901, 41.000, 52.628
189, 1, 7, 901, 45.000, 65.936
190, 1, 6, 901, 52.500, 33.314
191, 1, 4, 901, 8.500, 52.781
192, 1, 3, 901, 5.500, 52.831
193, 1, 4, 901, 10.000, 64.725
194, 1, 8, 901, 49.500, 55.842
195, 1, 4, 901, 3.500, 66.477
196, 1, 7, 901, 48.000, 48.569
197, 1, 5, 901, 31.500, 56.758
198, 1, 5, 901, 25.000, 57.489
199, 1, 6, 901, 41.000, 61.275
200, 1, 5, 901, 35.500, 58.226
201, 1, 6, 901, 51.000, 69.498
202, 1, 4, 901, 17.500, 52.269
203, 1, 5, 901, 22.500, 52.056
204, 1, 8, 901, 66.500, 50.017
205, 1, 5, 901, 30.500, 55.225
206, 1, 6, 901, 46.000, 50.135
207, 1, 3, 901, 19.000, 47.117
208, 1, 6, 901, 41.000, 42.087
209, 1, 5, 901, 33.000, 43.306
210, 1, 4, 901, 25.000, 64.637
211, 1, 7, 901, 53.500, 39.802
212, 1, 7, 901, 45.500, 64.101
213, 1, 4, 901, 24.000, 43.677
214, 1, 6, 901, 37.500, 55.763
215, 1, 7, 901, 50.500, 48.859
216, 1, 7, 901, 37.000, 57.667
217, 1, 8, 901, 58.500, 53.081
218, 1, 5, 901, 35.500, 56.057
219, 1, 7, 901, 50.500, 58.281
220, 1, 5, 901, 30.500, 58.649
221, 1, 5, 901, 28.000, 55.273
222, 1, 4, 901, 24.500, 54.980
223, 1, 8, 901, 47.500, 79.957
224, 1, 6, 901, 30.500, 71.440
225, 1, 4, 901, 16.500, 54.181
226, 1, 5, 901, 28.000, 61.739
227, 1, 8, 901, 54.500, 56.934
228, 1, 6, 901, 33.000, 59.686
229, 1, 6, 901, 39.000, 60.956
230, 1, 5, 901, 21.000, 50.796
231, 1, 5, 901, 19.500, 51.362
232, 1, 4, 901, 4.000, 72.186
233, 1, 6, 901, 38.500, 57.763
234, 1, 8, 901, 58.000, 48.100
235, 1, 5, 901, 27.000, 68.015
236, 1, 3, 901, 10.000, 54.258
237, 1, 3, 901, -0.500, 63.411
238, 1, 3, 901, 8.000, 52.611
239, 1, 5, 901, -1.000, 48.495
240, 1, 6, 901, 21.000, 51.979
241, 1, 3, 901, -19.000, 49.522
242, 1, 7, 901, 45.500, 71.130
243, 1, 4, 901, 23.500, 62.567
244, 1, 3, 901, 11.000, 60.547
245, 1, 5, 901, 32.000, 56.771
246, 1, 4, 901, 23.000, 46.653
247, 1, 5, 901, 27.500, 73.372
248, 1, 2, 901, -9.500, 65.050
249, 1, 2, 901, -0.500, 52.809
250, 1, 5, 901, 32.000, 76.061
251, 1, 4, 901, 28.500, 55.763
252, 1, 5, 901, 28.000, 50.448
253, 1, 5, 901, 35.000, 54.519
254, 1, 7, 901, 47.000, 50.611
255, 1, 4, 901, 18.500, 53.515
256, 1, 4, 901, 15.000, 67.140
257, 0, 0, 36, -22.000, 54.720
258, 1, 6, 901, 44.500, 55.698
259, 1, 4, 901, 25.000, 56.755
260, 1, 5, 901, 30.500, 58.638
261, 1, 7, 901, 40.000, 67.849
262, 0, 0, 36, -34.000, 70.764
263, 1, 4, 901, 22.500, 44.918
264, 1, 6, 901, 37.000, 60.961
265, 1, 7, 901, 52.500, 48.695
266, 1, 6, 901, 44.500, 51.999
267, 1, 5, 901, 34.000, 56.399
268, 1, 6, 901, 40.000, 68.700
269, 1, 5, 901, 35.000, 49.097
270, 1, 4, 901, 24.000, 52.085
271, 1, 5, 901, 38.000, 52.425
272, 1, 4, 901, 22.500, 56.527
273, 1, 5, 901, 24.000, 70.909
274, 1, 6, 901, 36.500, 65.842
275, 1, 5, 901, 34.000, 50.754
276, 1, 5, 901, 40.000, 67.555
277, 1, 6, 901, 42.000, 49.355
278, 1, 6, 901, 46.500, 64.664
279, 1, 4, 901, 15.500, 72.149
280, 1, 6, 901, 49.500, 65.195
281, 0, 0, 4, -26.500, 37.793
282, 1, 5, 901, 32.000, 51.737
283, 1, 6, 901, 43.000, 56.730
284, 1, 5, 901, 27.500, 55.010
285, 1, 5, 901, 27.500, 55.773
286, 1, 7, 901, 43.000, 54.364
287, 1, 8, 901, 65.000, 45.189
288, 1, 8, 901, 57.500, 59.611
289, 1, 3, 901, 9.500, 58.961
290, 1, 4, 901, 18.500, 47.916
291, 1, 6, 901, 40.500, 47.495
292, 1, 4, 901, 1.500, 55.841
293, 1, 7, 901, 50.500, 54.698
294, 1, 5, 901, 27.000, 56.207
295, 1, 5, 901, 32.500, 58.980
296, 1, 3, 901, -5.500, 66.272
297, 1, 5, 901, 30.000, 53.594
298, 1, 6, 901, 42.500, 52.506
299, 1, 8, 901, 58.500, 55.974
300, 1, 9, 901, 68.500, 55.127
301, 1, 6, 901, 5.000, 61.185
302, 1, 9, 901, 56.500, 60.043
303, 1, 3, 901, 1.500, 60.334
304, 1, 6, 901, 41.500, 58.512
305, 1, 4, 901, 15.500, 53.949
306, 1, 1, 901, -15.000, 62.586
307, 1, 3, 901, 3.500, 62.266
308, 1, 3, 901, -17.000, 77.972
309, 1, 8, 901, 40.000, 51.944
310, 1, 3, 901, -3.000, 59.440
311, 1, 4, 901, -2.000, 64.775
312, 1, 7, 901, 57.500, 49.983
313, 1, 2, 901, -3.000, 55.032
314, 1, 3, 901, 6.500, 48.893
315, 1, 2, 901, -11.500, 58.462
316, 1, 2, 901, -3.500, 55.228
317, 1, 6, 901, 12.500, 71.217
318, 1, 4, 901, 18.500, 51.250
319, 1, 8, 901, 44.500, 55.342
320, 1, 4, 901, 7.000, 63.848
321, 1, 1, 901, -36.500, 61.772
322, 1, 4, 901, 15.500, 60.432
323, 1, 6, 901, 48.500, 48.366
324, 1, 5, 901, 32.000, 49.418
325, 1, 2, 901, 4.500, 61.019
326, 1, 5, 901, 30.500, 62.094
327, 1, 5, 901, 26.000, 47.874
328, 1, 7, 901, 50.500, 54.334
329, 1, 3, 901, -31.500, 57.837
330, 1, 9, 901, 58.000, 54.940
331, 1, 4, 901, 6.500, 60.172
332, 1, 3, 901, 2.500, 54.076
333, 1, 5, 901, 33.000, 46.605
334, 1, 1, 901, -22.500, 67.038
335, 1, 2, 901, -7.500, 45.233
336, 1, 5, 901, 33.000, 48.315
337, 1, 5, 901, 28.000, 59.777
338, 1, 2, 901, -3.000, 53.554
339, 1, 7, 901, 38.000, 64.542
340, 1, 4, 901, 28.000, 60.327
341, 1, 5, 901, 23.000, 51.961
342, 1, 3, 901, 4.000, 59.343
343, 1, 7, 901, 46.000, 49.671
344, 1, 5, 901, 23.000, 54.227
345, 1, 4, 901, 7.500, 65.193
346, 1, 5, 901, 23.000, 63.235
347, 1, 1, 901, -29.000, 62.360
348, 1, 8, 901, 49.500, 67.930
349, 1, 2, 901, 12.000, 48.260
350, 1, 4, 901, 17.000, 49.404
351, 1, 5, 901, 24.500, 70.865
352, 1, 3, 901, -15.000, 63.061
353, 1, 4, 901, 15.500, 65.724
354, 1, 2, 901, -9.000, 74.983
355, 1, 6, 901, 34.500, 51.207
356, 1, 5, 901, 16.000, 54.888
357, 1, 6, 901, 43.500, 46.933
358, 1, 3, 901, -3.000, 75.323
359, 1, 3, 901, 4.000, 59.221
360, 1, 6, 901, 33.000, 52.953
361, 1, 4, 901, 19.000, 54.082
362, 1, 3, 901, -7.500, 63.515
363, 1, 7, 901, 35.000, 79.301
364, 1, 5, 901, 16.000, 63.501
365, 1, 5, 901, 34.500, 50.832
366, 1, 5, 901, 24.500, 70.215
367, 1, 6, 901, 40.500, 59.225
368, 1, 3, 901, 9.000, 56.145
369, 1, 5, 901, 33.500, 46.597
370, 1, 5, 901, 31.500, 47.557
371, 1, 3, 901, -2.000, 64.415
372, 1, 4, 901, 14.500, 47.394
373, 1, 4, 901, 8.000, 64.392
374, 1, 6, 901, 25.000, 69.523
375, 1, 7, 901, 40.500, 60.037
376, 1, 3, 901, -2.000, 65.942
377, 1, 4, 901, 17.500, 43.542
378, 1, 5, 901, 23.500, 64.968
379, 1, 5, 901, 27.000, 42.493
380, 1, 2, 901, -18.500, 68.112
381, 1, 7, 901, 49.500, 52.811
382, 1, 5, 901, -3.000, 64.851
383, 1, 8, 901, 60.000, 51.952
384, 1, 7, 901, 40.500, 55.568
385, 1, 7, 901, 32.000, 66.733
386, 1, 3, 901, -18.500, 75.111
387, 1, 3, 901, 8.500, 61.147
388, 1, 5, 901, 17.000, 69.690
389, 1, 4, 901, 1.500, 78.170
390, 1, 3, 901, 3.000, 52.054
391, 1, 4, 901, 9.500, 54.533
392, 1, 3, 901, -10.500, 72.605
393, 1, 4, 901, -17.000, 70.968
394, 1, 6, 901, 2.000, 56.217
395, 1, 4, 901, -13.000, 63.317
396, 1, 2, 901, -21.000, 60.703
397, 1, 7, 901, 33.500, 64.920
398, 1, 7, 901, 54.000, 52.471
399, 1, 5, 901, 22.000, 60.441
400, 1, 5, 901, 26.500, 45.364
401, 1, 9, 901, 61.000, 64.892
402, 1, 3, 901, 2.500, 65.546
403, 1, 7, 901, 28.500, 82.579
404, 1, 5, 901, 34.000, 38.846
405, 1, 5, 901, 40.500, 42.613
406, 1, 5, 901, 20.500, 64.631
407, 1, 6, 901, 31.500, 54.796
408, 0, 0, 36, -32.500, 74.371
409, 1, 5, 901, 11.000, 79.762
410, 1, 5, 901, 10.500, 53.008
411, 1, 5, 901, 24.500, 60.132
412, 1, 4, 901, 16.000, 52.250
413, 1, 7, 901, 35.000, 61.273
414, 1, 4, 901, 9.000, 57.506
415, 1, 2, 901, -7.000, 67.496
416, 1, 3, 901, 3.000, 56.835
417, 1, 5, 901, 31.000, 57.583
418, 1, 2, 901, 0.500, 47.122
419, 1, 2, 901, -1.500, 52.255
420, 1, 3, 901, -12.000, 65.491
421, 1, 3, 901, -8.500, 72.346
422, 1, 4, 901, -19.500, 92.189
423, 1, 1, 901, -27.500, 65.447
424, 1, 2, 901, -7.500, 57.383
425, 1, 6, 901, 38.500, 50.966
426, 1, 5, 901, 32.500, 56.646
427, 1, 4, 901, 14.000, 65.917
428, 1, 2, 901, 8.000, 55.479
429, 1, 4, 901, 30.500, 69.580
430, 1, 3, 901, 19.500, 61.425
431, 1, 4, 901, 16.500, 69.709
432, 1, 6, 901, 46.500, 52.956
433, 0, 0, 164, -41.000, 63.031
434, 1, 6, 901, 35.000, 55.442
435, 1, 3, 901, 1.000, 60.453
436, 1, 4, 901, 18.500, 52.865
437, 1, 3, 901, -13.000, 73.320
438, 0, 0, 4, -32.500, 55.350
439, 0, 0, 4, -46.500, 66.181
440, 1, 5, 901, 18.000, 57.988
441, 1, 3, 901, -10.500, 60.171
442, 1, 4, 901, -2.000, 71.686
443, 1, 1, 901, -15.500, 45.360
444, 1, 6, 901, 39.000, 55.115
445, 1, 4, 901, 8.500, 57.645
446, 1, 5, 901, 30.500, 46.231
447, 1, 1, 901, -27.500, 76.846
448, 1, 2, 901, -27.500, 57.912
449, 1, 2, 901, -34.500, 67.794
450, 1, 3, 901, -5.500, 56.052
451, 1, 3, 901, -13.500, 49.721
452, 1, 5, 901, 11.000, 58.312
453, 1, 8, 901, 58.500, 43.003
454, 1, 4, 901, -6.500, 61.057
455, 1, 5, 901, 26.000, 55.299
456, 1, 7, 901, 37.500, 53.393
457, 1, 7, 901, 23.000, 84.781
458, 1, 2, 901, -23.000, 83.403
459, 1, 8, 901, 59.500, 65.745
460, 1, 5, 901, 29.000, 55.794
461, 1, 3, 901, 4.500, 72.913
462, 1, 4, 901, 14.500, 55.987
463, 0, 0, 36, -38.000, 66.937
464, 1, 5, 901, 32.500, 51.305
465, 1, 4, 901, 8.000, 52.047
466, 1, 7, 901, 46.500, 52.141
467, 1, 2, 901, -25.000, 79.093
468, 1, 8, 901, 54.500, 72.207
469, 1, 3, 901, -16.000, 72.302
470, 1, 5, 901, 19.000, 54.710
471, 1, 6, 901, 24.500, 64.470
472, 1, 6, 901, 29.000, 71.678
473, 1, 4, 901, -9.000, 70.506
474, 1, 6, 901, 32.500, 53.199
475, 1, 8, 901, 59.500, 62.531
476, 1, 8, 901, 59.000, 60.297
477, 1, 7, 901, 50.000, 54.121
478, 1, 5, 901, 19.500, 65.596
