loss_policy_move, entropy_loss_move, loss_value_move, loss_policy_act, entropy_loss_act, loss_value_act
Episode: 1
480559000000.0,0.0,152.28618,23604859000.0,0.0,8.669982
-289392000000.0,0.0,110.00834,-2819764000000.0,0.0,18.702623
-192366820000.0,0.0,92.071365,114201510000.0,0.0,29.349218
2585677300000.0,0.0,95.36249,-3288624300000.0,0.0,30.901007
1457929600000.0,0.0,107.87414,329084500000.0,0.0,26.32527
-458615900000.0,0.0,93.33315,-300993940000.0,0.0,64.372475
629945900000.0,0.0,88.64394,252004680000.0,0.0,29.959486
915379650000.0,0.0,114.871704,362054160000.0,0.0,21.675625
1967343700000.0,0.0,101.14736,207196470000.0,0.0,4.4557943
-124032220000.0,0.0,100.958,855905530000.0,0.0,12.459661
2852138800000.0,0.0,136.35233,825558300000.0,0.0,21.926481
4620881000000.0,0.0,140.3521,-0.0,0.0,62.36692
1087855800000.0,0.0,103.50317,-1073887200000.0,0.0,18.522278
261990060000.0,0.0,121.145386,136204080000.0,0.0,69.50613
-383573460000.0,0.0,82.28539,679033100000.0,0.0,40.483086
1064339400000.0,0.0,114.88384,614808350000.0,0.0,26.831867
134649180000.0,0.0,100.05547,-997368200000.0,0.0,6.669903
666023760000.0,0.0,115.67661,329586600000.0,0.0,23.304195
589516200000.0,0.0,101.20546,270308000000.0,0.0,21.445328
2318571000000.0,0.0,128.74413,-5155850000000.0,0.0,39.608166
-583770960000.0,0.0,98.74564,-2631421700000.0,0.0,42.118465
499840480000.0,0.0,125.14943,43497894000.0,0.0,49.601475
751000500000.0,0.0,98.56045,715052100000.0,0.0,19.901749
1565345300000.0,0.0,96.18454,100108790000.0,0.0,6.5788803
1300797200000.0,0.0,98.995804,-4694370000000.0,0.0,37.50323
-174531500000.0,0.0,97.15631,266939810000.0,0.0,35.484844
-208118250000.0,0.0,96.01283,-5761403400.0,0.0,24.276962
-290495170000.0,0.0,121.67742,68372260000.0,0.0,49.08344
240893230000.0,0.0,118.882645,68216947000.0,0.0,34.553097
1237616200000.0,0.0,83.97654,173242550000.0,0.0,55.31437
-0.0,0.0,107.329056,-2844846700000.0,0.0,59.68484
1174131300000.0,0.0,100.78291,184570840000.0,0.0,30.473743
-1397544700000.0,0.0,90.358574,-2609720000000.0,0.0,27.894648
-257528170000.0,0.0,87.12267,-729060600000.0,0.0,17.882486
298963470000.0,0.0,90.36337,-3851691800000.0,0.0,37.795887
-165101370000.0,0.0,75.128235,526489260000.0,0.0,6.2133937
4061866500000.0,0.0,97.27526,-221271060000.0,0.0,14.284307
-281251150000.0,0.0,77.544365,-1648712200000.0,0.0,6.4763947
-159371260000.0,0.0,97.78593,-1762854200000.0,0.0,52.47693
941592540000.0,0.0,136.67374,487505800000.0,0.0,20.64666
-481680000000.0,0.0,101.70834,1003306700000.0,0.0,12.764098
566791960000.0,0.0,127.00762,-1102190000000.0,0.0,6.084114
-444664770000.0,0.0,60.046764,746115400000.0,0.0,7.3491325
-485042850000.0,0.0,103.729065,291424270000.0,0.0,43.646515
148111620000.0,0.0,96.93103,-2430785300000.0,0.0,22.283657
-120081015000.0,0.0,91.18133,-1098827040000.0,0.0,5.6031156
2449527300000.0,0.0,75.78119,-5645563000000.0,0.0,27.066534
704665200000.0,0.0,128.4902,584421900000.0,0.0,14.308817
240274570000.0,0.0,81.6562,618108160000.0,0.0,43.444893
7975809500.0,0.0,96.62478,174073710000.0,0.0,37.580822
1226297400000.0,0.0,83.82867,895476000000.0,0.0,35.96122
537543150000.0,0.0,98.28336,-4455803700000.0,0.0,18.413248
1104592100000.0,0.0,98.48097,-3463492400000.0,0.0,20.7072
-449865250000.0,0.0,99.61258,-263178470000.0,0.0,31.279179
797932060000.0,0.0,64.49109,747337940000.0,0.0,24.913725
471576840000.0,0.0,107.81079,-0.0,0.0,44.64969
599542800000.0,0.0,113.82641,30676870000.0,0.0,7.5722733
-475780320000.0,0.0,74.15645,-1091838540000.0,0.0,15.267667
919358000000.0,0.0,142.34093,-369416600000.0,0.0,46.53738
-409711080000.0,0.0,103.098976,-1229499700000.0,0.0,12.157265
-283424980000.0,0.0,87.38417,50153550000.0,0.0,48.99194
